,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-01 00:00:00,13.555,730.0,76.0,8.4,751.083
2022-03-01 00:15:00,13.555,730.0,76.0,8.4,1363.87
2022-03-01 00:30:00,13.555,730.0,76.0,8.4,618.326
2022-03-01 00:45:00,13.555,730.0,76.0,8.4,185.721
2022-03-01 01:00:00,13.555,730.0,76.0,8.4,73.0175
2022-03-01 01:15:00,13.555,730.0,76.0,8.4,370.294
2022-03-01 01:30:00,13.555,730.0,76.0,8.4,660.017
2022-03-01 01:45:00,13.555,730.0,76.0,8.4,654.682
2022-03-01 02:00:00,13.555,730.0,76.0,8.4,679.478
2022-03-01 02:15:00,13.555,730.0,76.0,8.4,277.446
2022-03-01 02:30:00,13.555,730.0,76.0,8.4,359.973
2022-03-01 02:45:00,13.555,730.0,76.0,8.4,523.583
2022-03-01 03:00:00,13.555,730.0,76.0,8.4,578.634
2022-03-01 03:15:00,13.555,730.0,76.0,8.4,381.83
2022-03-01 03:30:00,13.555,730.0,76.0,8.4,810.77
2022-03-01 03:45:00,13.555,730.0,76.0,8.4,758.172
2022-03-01 04:00:00,13.555,730.0,76.0,8.4,162.466
2022-03-01 04:15:00,13.555,730.0,76.0,8.4,267.573
2022-03-01 04:30:00,13.555,730.0,76.0,8.4,398.343
2022-03-01 04:45:00,13.555,730.0,76.0,8.4,249.003
2022-03-01 05:00:00,13.555,730.0,76.0,8.4,334.759
2022-03-01 05:15:00,13.555,730.0,76.0,8.4,432.404
2022-03-01 05:30:00,13.555,730.0,76.0,8.4,109.709
2022-03-01 05:45:00,13.555,730.0,76.0,8.4,543.819
2022-03-01 06:00:00,13.555,730.0,76.0,8.4,180.67
2022-03-01 06:15:00,13.555,730.0,76.0,8.4,564.816
2022-03-01 06:30:00,13.555,730.0,76.0,8.4,257.691
2022-03-01 06:45:00,13.555,730.0,76.0,8.4,511.196
2022-03-01 07:00:00,13.555,730.0,76.0,8.4,336.052
2022-03-01 07:15:00,13.555,730.0,76.0,8.4,471.846
2022-03-01 07:30:00,13.555,730.0,76.0,8.4,421.39
2022-03-01 07:45:00,13.555,730.0,76.0,8.4,496.092
2022-03-01 08:00:00,13.555,730.0,76.0,8.4,584.97
2022-03-01 08:15:00,13.555,730.0,76.0,8.4,773.132
2022-03-01 08:30:00,13.555,730.0,76.0,8.4,1309.61
2022-03-01 08:45:00,13.555,730.0,76.0,8.4,338.219
2022-03-01 09:00:00,13.555,730.0,76.0,8.4,1014.21
2022-03-01 09:15:00,13.555,730.0,76.0,8.4,1592.89
2022-03-01 09:30:00,13.555,730.0,76.0,8.4,223.697
2022-03-01 09:45:00,13.555,730.0,76.0,8.4,592.282
2022-03-01 10:00:00,13.555,730.0,76.0,8.4,277.034
2022-03-01 10:15:00,13.555,730.0,76.0,8.4,1054.19
2022-03-01 10:30:00,13.555,730.0,76.0,8.4,1102.24
2022-03-01 10:45:00,13.555,730.0,76.0,8.4,558.404
2022-03-01 11:00:00,13.555,730.0,76.0,8.4,789.505
2022-03-01 11:15:00,13.555,730.0,76.0,8.4,756.014
2022-03-01 11:30:00,13.555,730.0,76.0,8.4,748.397
2022-03-01 11:45:00,13.555,730.0,76.0,8.4,664.771
2022-03-01 12:00:00,13.555,730.0,76.0,8.4,1147.35
2022-03-01 12:15:00,13.555,730.0,76.0,8.4,1711.96
2022-03-01 12:30:00,13.555,730.0,76.0,8.4,863.957
2022-03-01 12:45:00,13.555,730.0,76.0,8.4,972.11
2022-03-01 13:00:00,13.555,730.0,76.0,8.4,1139.57
2022-03-01 13:15:00,13.555,730.0,76.0,8.4,607.504
2022-03-01 13:30:00,13.555,730.0,76.0,8.4,517.263
2022-03-01 13:45:00,13.555,730.0,76.0,8.4,917.156
2022-03-01 14:00:00,13.555,730.0,76.0,8.4,818.561
2022-03-01 14:15:00,13.555,730.0,76.0,8.4,487.575
2022-03-01 14:30:00,13.555,730.0,76.0,8.4,1495.89
2022-03-01 14:45:00,13.555,730.0,76.0,8.4,445.82
2022-03-01 15:00:00,13.555,730.0,76.0,8.4,695.634
2022-03-01 15:15:00,13.555,730.0,76.0,8.4,582.296
2022-03-01 15:30:00,13.555,730.0,76.0,8.4,780.209
2022-03-01 15:45:00,13.555,730.0,76.0,8.4,691.002
2022-03-01 16:00:00,13.555,730.0,76.0,8.4,688.371
2022-03-01 16:15:00,13.555,730.0,76.0,8.4,909.462
2022-03-01 16:30:00,13.555,730.0,76.0,8.4,916.255
2022-03-01 16:45:00,13.555,730.0,76.0,8.4,721.779
2022-03-01 17:00:00,13.555,730.0,76.0,8.4,1216.76
2022-03-01 17:15:00,13.555,730.0,76.0,8.4,837.357
2022-03-01 17:30:00,13.555,730.0,76.0,8.4,1421.44
2022-03-01 17:45:00,13.555,730.0,76.0,8.4,772.32
2022-03-01 18:00:00,13.555,730.0,76.0,8.4,1037.34
2022-03-01 18:15:00,13.555,730.0,76.0,8.4,1101.0
2022-03-01 18:30:00,13.555,730.0,76.0,8.4,895.705
2022-03-01 18:45:00,13.555,730.0,76.0,8.4,848.594
2022-03-01 19:00:00,13.555,730.0,76.0,8.4,1034.6
2022-03-01 19:15:00,13.555,730.0,76.0,8.4,868.846
2022-03-01 19:30:00,13.555,730.0,76.0,8.4,608.533
2022-03-01 19:45:00,13.555,730.0,76.0,8.4,271.791
2022-03-01 20:00:00,13.555,730.0,76.0,8.4,557.656
2022-03-01 20:15:00,13.555,730.0,76.0,8.4,873.393
2022-03-01 20:30:00,13.555,730.0,76.0,8.4,672.956
2022-03-01 20:45:00,13.555,730.0,76.0,8.4,548.763
2022-03-01 21:00:00,13.555,730.0,76.0,8.4,464.115
2022-03-01 21:15:00,13.555,730.0,76.0,8.4,1183.22
2022-03-01 21:30:00,13.555,730.0,76.0,8.4,847.529
2022-03-01 21:45:00,13.555,730.0,76.0,8.4,459.113
2022-03-01 22:00:00,13.555,730.0,76.0,8.4,711.965
2022-03-01 22:15:00,13.555,730.0,76.0,8.4,831.275
2022-03-01 22:30:00,13.555,730.0,76.0,8.4,779.364
2022-03-01 22:45:00,13.555,730.0,76.0,8.4,947.521
2022-03-01 23:00:00,13.555,730.0,76.0,8.4,563.21
2022-03-01 23:15:00,13.555,730.0,76.0,8.4,759.924
2022-03-01 23:30:00,13.555,730.0,76.0,8.4,142.702
2022-03-01 23:45:00,13.555,730.0,76.0,8.4,394.574
2022-03-02 00:00:00,13.776,730.0,76.0,8.4,427.646
2022-03-02 00:15:00,13.776,730.0,76.0,8.4,693.599
2022-03-02 00:30:00,13.776,730.0,76.0,8.4,811.554
2022-03-02 00:45:00,13.776,730.0,76.0,8.4,932.738
2022-03-02 01:00:00,13.776,730.0,76.0,8.4,708.632
2022-03-02 01:15:00,13.776,730.0,76.0,8.4,124.208
2022-03-02 01:30:00,13.776,730.0,76.0,8.4,838.202
2022-03-02 01:45:00,13.776,730.0,76.0,8.4,22.1988
2022-03-02 02:00:00,13.776,730.0,76.0,8.4,61.4603
2022-03-02 02:15:00,13.776,730.0,76.0,8.4,103.493
2022-03-02 02:30:00,13.776,730.0,76.0,8.4,503.181
2022-03-02 02:45:00,13.776,730.0,76.0,8.4,635.48
2022-03-02 03:00:00,13.776,730.0,76.0,8.4,337.035
2022-03-02 03:15:00,13.776,730.0,76.0,8.4,206.155
2022-03-02 03:30:00,13.776,730.0,76.0,8.4,16.553
2022-03-02 03:45:00,13.776,730.0,76.0,8.4,398.404
2022-03-02 04:00:00,13.776,730.0,76.0,8.4,492.155
2022-03-02 04:15:00,13.776,730.0,76.0,8.4,434.137
2022-03-02 04:30:00,13.776,730.0,76.0,8.4,385.772
2022-03-02 04:45:00,13.776,730.0,76.0,8.4,177.847
2022-03-02 05:00:00,13.776,730.0,76.0,8.4,291.756
2022-03-02 05:15:00,13.776,730.0,76.0,8.4,211.163
2022-03-02 05:30:00,13.776,730.0,76.0,8.4,74.5861
2022-03-02 05:45:00,13.776,730.0,76.0,8.4,21.2161
