Unnamed: 0,Sumo__Plant__Influent1__T,Sumo__Plant__Influent__param__TCOD,Sumo__Plant__Influent1__param__TKN,Sumo__Plant__Influent1__param__TP,Sumo__Plant__Influent__param__Q
2022-03-01 00:00:00,13.555,730.0,76.0,8.4,17514.0
2022-03-01 01:00:00,13.555,730.0,76.0,8.4,10548.063
2022-03-01 02:00:00,13.555,730.0,76.0,8.4,11042.88
2022-03-01 03:00:00,13.555,730.0,76.0,8.4,15176.436
2022-03-01 04:00:00,13.555,730.0,76.0,8.4,6464.31
2022-03-01 05:00:00,13.555,730.0,76.0,8.4,8524.146
2022-03-01 06:00:00,13.555,730.0,76.0,8.4,9086.238
2022-03-01 07:00:00,13.555,730.0,76.0,8.4,10352.28
2022-03-01 08:00:00,13.555,730.0,76.0,8.4,18035.586
2022-03-01 09:00:00,13.555,730.0,76.0,8.4,20538.474
2022-03-01 10:00:00,13.555,730.0,76.0,8.4,17951.208
2022-03-01 11:00:00,13.555,730.0,76.0,8.4,17752.122
2022-03-01 12:00:00,13.555,730.0,76.0,8.4,28172.262000000002
2022-03-01 13:00:00,13.555,730.0,76.0,8.4,19088.958000000002
2022-03-01 14:00:00,13.555,730.0,76.0,8.4,19487.076
2022-03-01 15:00:00,13.555,730.0,76.0,8.4,16494.846
2022-03-01 16:00:00,13.555,730.0,76.0,8.4,19415.202
2022-03-01 17:00:00,13.555,730.0,76.0,8.4,25487.262
2022-03-01 18:00:00,13.555,730.0,76.0,8.4,23295.834
2022-03-01 19:00:00,13.555,730.0,76.0,8.4,16702.62
2022-03-01 20:00:00,13.555,730.0,76.0,8.4,15916.608
2022-03-01 21:00:00,13.555,730.0,76.0,8.4,17723.861999999997
2022-03-01 22:00:00,13.555,730.0,76.0,8.4,19620.75
2022-03-01 23:00:00,13.555,730.0,76.0,8.4,11162.46
2022-03-02 00:00:00,13.776000000000002,730.0,76.0,8.4,17193.221999999998
2022-03-02 01:00:00,13.776000000000002,730.0,76.0,8.4,10159.4448
2022-03-02 02:00:00,13.776000000000002,730.0,76.0,8.4,7821.685799999999
2022-03-02 03:00:00,13.776000000000002,730.0,76.0,8.4,5748.8820000000005
2022-03-02 04:00:00,13.776000000000002,730.0,76.0,8.4,8939.466
2022-03-02 05:00:00,13.776000000000002,730.0,76.0,8.4,3592.3271999999997
2022-03-02 06:00:00,13.776000000000002,730.0,76.0,8.4,4974.22614
2022-03-02 07:00:00,13.776000000000002,730.0,76.0,8.4,20545.422000000002
2022-03-02 08:00:00,13.776000000000002,730.0,76.0,8.4,20298.426
2022-03-02 09:00:00,13.776000000000002,730.0,76.0,8.4,22012.746
2022-03-02 10:00:00,13.776000000000002,730.0,76.0,8.4,14123.574
2022-03-02 11:00:00,13.776000000000002,730.0,76.0,8.4,14229.468
2022-03-02 12:00:00,13.776000000000002,730.0,76.0,8.4,20058.144
2022-03-02 13:00:00,13.776000000000002,730.0,76.0,8.4,19002.876
2022-03-02 14:00:00,13.776000000000002,730.0,76.0,8.4,9240.09
2022-03-02 15:00:00,13.776000000000002,730.0,76.0,8.4,17183.226
2022-03-02 16:00:00,13.776000000000002,730.0,76.0,8.4,15949.0188
2022-03-02 17:00:00,13.776000000000002,730.0,76.0,8.4,9433.02
2022-03-02 18:00:00,13.776000000000002,730.0,76.0,8.4,18975.755999999998
2022-03-02 19:00:00,13.776000000000002,730.0,76.0,8.4,16954.668
2022-03-02 20:00:00,13.776000000000002,730.0,76.0,8.4,21611.864400000002
2022-03-02 21:00:00,13.776000000000002,730.0,76.0,8.4,17064.054
2022-03-02 22:00:00,13.776000000000002,730.0,76.0,8.4,22667.904
2022-03-02 23:00:00,13.776000000000002,730.0,76.0,8.4,23215.506000000005
2022-03-03 00:00:00,13.915,730.0,76.0,8.4,13331.028
2022-03-03 01:00:00,13.915,730.0,76.0,8.4,10586.856
2022-03-03 02:00:00,13.915,730.0,76.0,8.4,5959.0380000000005
2022-03-03 03:00:00,13.915,730.0,76.0,8.4,7226.4816
2022-03-03 04:00:00,13.915,730.0,76.0,8.4,4160.826
2022-03-03 05:00:00,13.915,730.0,76.0,8.4,8606.214
2022-03-03 06:00:00,13.915,730.0,76.0,8.4,7945.011600000001
2022-03-03 07:00:00,13.915,730.0,76.0,8.4,17144.796
2022-03-03 08:00:00,13.915,730.0,76.0,8.4,22597.895999999997
2022-03-03 09:00:00,13.915,730.0,76.0,8.4,17826.102000000003
2022-03-03 10:00:00,13.915,730.0,76.0,8.4,24031.944000000003
2022-03-03 11:00:00,13.915,730.0,76.0,8.4,20376.876
